name,date_iso,amount_usd_millions,round,category,category_group,sector,lead_investors,other_investors,source,valuation_usd_millions,chains,defillama_id
Coinstash,2025-07-02,3.1,Series A,CEX,,Coinstash is an Australian-based cryptocurrency exchange and trading platform established in 2017,,,https://x.com/Coinstash_AU/status/1940599881019912666,,,
Bracket Labs,2024-01-05,2.0,Pre-Seed,DeFi,DeFi & CeFi,On-chain leveraged products with adaptive pricing and usability,,"Binance Labs, NGC Ventures, Cypher Capital, PHD Capital, OxCapital, FJ Labs, SCC Investments, K300 Ventures, W3Coins, Scope Research, Titan Equity Group, Bitfund DAO",https://x.com/Bracket_Labs_/status/1743096399540179368,,Arbitrum,
Ethena Labs,2025-02-26,16.0,Strategic,DeFi,DeFi & CeFi,Ethena is a synthetic dollar protocol built on Ethereum,MEXC Ventures,,https://www.benzinga.com/pressreleases/25/02/g43966782/mexc-invests-20-million-in-usde-to-drive-stablecoin-adoption-launches-1-000-000-reward-event,,Ethereum,parent#ethena
Herd,2025-02-03,1.8,Pre-Seed,AI,"AI, Analytics & Data","Herd is developing a collaborative terminal, or “coterminal,” designed to simplify interactions with on-chain contracts",Semantic Ventures,Archetype,https://x.com/herd_eco/status/1886460827034902974,,,
Adhara,2019-09-01,2.5,Seed,CeFi,DeFi & CeFi,"Real time global liquidity management, FX and international payments on CBDCs and tokenized money for banks and central banks",,ConsenSys,https://nordic9.com/news/adhara-in-a-25-million-deal/,,,
Anzen,2024-12-03,3.0,Public token sale,Stablecoin,,"Anzen is a decentralized platform offering access to USDz, a digital token backed by a diversified portfolio of private credit assets",,,https://x.com/anzenfinance/status/1863892322158838138,,"Base, Ethereum, Manta, Blast, Arbitrum",parent#anzen-finance
Jincor,2016-05-15,0.4,Seed,,,Genuinely simple smart contracts and cryptocurrency transactions for any business.,,,,,,
PartyDAO,2023-11-27,16.4,,Web3,,"PartyDAO, a decentralized software organization with the vision of building multiplayer crypto products",a16z crypto,"Standard Crypto, Dragonfly Capital, Uniswap Labs Ventures, Compound Crypto",https://pandaily.com/partydao-raises-16-4-million-funding/,,,
Kollider,2022-10-26,2.4,Seed,,,,Lemniscap,"Castle Island Ventures, Polychain Capital, Alameda Research, Pfeffer Capital, OKX",https://twitter.com/CoinDesk/status/1585312996213014529,,Bitcoin,
Decentraland,2017-08-18,25.0,ICO,Metaverse,"NFT, Gaming & Metaverse",Decentraland is a virtual reality platform that allows users to explore the metaverse and experience novelty.,,"Animoca Brands, Boost VC, Fabric Ventures, Fundamental Labs, Genesis One Capital, George Burke, INBlockchain, Kosmos Ventures",,,Ethereum,
PlanetWatch,2021-07-22,1.23,,,,Decentralizing and incentivizing environmental monitoring,,,,,,
Avalon,2024-04-15,10.0,Private,Gaming,"NFT, Gaming & Metaverse",crypto gaming studio,"Bitkraft Ventures, Hashed","Coinbase Ventures, Spartan Capital, Foresight Ventures, LiquidX, Momentum 6, Sanctor Capital, Spirit DAO, DEXT Force Ventures, Follow[the]Seed, LVT Capital, TRGC, MH Ventures, Konger, Virtual Bacon, Teh Moonwalker, Cirrus, EllioTrades, Crypto Gorilla, Sherpa, Grail",https://x.com/avalon/status/1779857341317603794,,,
CreatorDAO,2022-08-10,20.0,Seed,,,DAO,"a16z, Initialized Capital","Liquid 2 Ventures, M13, Audacious Ventures, 6th Man Ventures, Abstract Ventures, SV Angel, Hack VC, Fika Ventures, Fuel Capital, Goldhouse, Soma Capital, AllianceDAO, Shima Capital, Olive Capital, Kygo's Palm Tree Crew, MGU Capital, Position Ventures, Alchemy Ventures, Paris Hilton, The Chainsmokers, Michael Ovtiz, Liam Payne",https://twitter.com/MichaelandMa/status/1556992840667889665,,,
Cred,2018-11-08,50.0,Debt Financing,,,Cred is a lending ecosystem that facilitates open access to credit anywhere and anytime based on the Ethereum blockchain.,,,,,,
CipherTrace,2018-04-18,2.98,,Crypto Intelligence,,CipherTrace is a cryptocurrency intelligence company that delivers delivers cryptocurrency AML compliance solutions.,,,,,,
LYS Labs,2025-08-19,4.0,Seed,Infrastructure,Web3 Infrastructure & Tools,"LYS Labs is building a low-latency, machine-ready intelligence and execution layer for Solana’s internet capital markets, transforming unstructured on-chain data into structured insights that enable AI agents to operate natively and autonomously",,"SMAPE Capital, Auros Global, Alchemy, Frachtis, Public Works",https://cryptodaily.co.uk/2025/08/lys-labs-raises-4m-to-build-machine-ready-intelligence-layer-for-solanas-internet-capital-markets,,Solana,
Nexus,2024-06-11,25.0,Series A,Infrastructure,Web3 Infrastructure & Tools,"modular, extensible, open-source, highly-parallelized, prover-optimized, contributor-friendly, zkVM written in Rust","Lightspeed Venture Partners, Pantera Capital","Dragonfly Capital, Faction Ventures, Blockchain Builders Fund",https://x.com/NexusLabsHQ/status/1800324588116860933,,,
Skychain Technologies Inc.,2021-04-21,1.6,,Infrastructure,Web3 Infrastructure & Tools,Skychain Technologies Inc. is a TSX-listed Canadian blockchain infrastructure services and power solutions provider,The9,,,,,
GoPlus Security,2022-12-08,8.0,Private,Cybersecurity,Security & Audits,"Open, permissionless, user-driven security service platform",Binance Labs,,https://twitter.com/BinanceLabs/status/1600770349133893639?s=20&t=i2Rxvn5U5bu351aPMu82pw,,"Arbitrum, Avalanche, Ethereum, Polygon, Fantom, Heco",4977
Hyperbridge,2024-09-11,2.5,Seed,DeFi,DeFi & CeFi,Building blockchain Interoperability on Polkadot,"Web3 Foundation, Scytale Digital",,https://www.examinecrypto.com/post/hyperbridge-a-building-blockchain-interoperability-on-polkadot-secures-2-5m-seed-funding-from-web,,Polkadot,
